logger.log.10:2019-09-17 07:04:13.835+0000 INFO JobManager:402 - taskId=864612, taskStatus=TASK_FAILED
logger.log.10:2019-09-17 08:04:13.835+0000 INFO JobManager:402 - taskId=864612, taskStatus=TASK_STARTING
logger.log.10:2019-09-18 07:01:44.835+0000 INFO JobManager:402 - taskId=843769, taskStatus=TASK_RUNNING
logger.log.10:2019-09-19 07:32:25.835+0000 INFO JobManager:402 - taskId=897688, taskStatus=TASK_FAILED
logger.log.10:2019-09-20 07:44:18.835+0000 INFO JobManager:402 - taskId=841033, taskStatus=TASK_FAILED
logger.log.10:2019-09-21 07:16:21.835+0000 INFO JobManager:402 - taskId=836212, taskStatus=TASK_STARTING
logger.log.10:2019-09-22 07:20:30.835+0000 INFO JobManager:402 - taskId=833321, taskStatus=TASK_FAILED
logger.log.10:2019-09-23 07:22:28.835+0000 INFO JobManager:402 - taskId=808076, taskStatus=TASK_COMPLETED
logger.log.10:2019-09-23 11:22:28.835+0000 INFO JobManager:402 - taskId=808076, taskStatus=TASK_STARTING
logger.log.10:2019-09-24 07:16:14.835+0000 INFO JobManager:402 - taskId=858980, taskStatus=TASK_RUNNING
logger.log.10:2019-09-25 07:42:43.835+0000 INFO JobManager:402 - taskId=815474, taskStatus=TASK_STARTING
logger.log.10:2019-09-26 07:18:29.835+0000 INFO JobManager:402 - taskId=818964, taskStatus=TASK_RUNNING
logger.log.10:2019-09-27 07:36:30.835+0000 INFO JobManager:402 - taskId=817166, taskStatus=TASK_STARTING
logger.log.10:2019-09-28 07:47:30.835+0000 INFO JobManager:402 - taskId=859084, taskStatus=TASK_COMPLETED
logger.log.10:2019-09-29 07:07:24.835+0000 INFO JobManager:402 - taskId=888019, taskStatus=TASK_STARTING
logger.log.10:2019-09-30 07:44:41.835+0000 INFO JobManager:402 - taskId=830779, taskStatus=TASK_STARTING
logger.log.10:2019-09-30 09:44:41.835+0000 INFO JobManager:402 - taskId=830779, taskStatus=TASK_COMPLETED
logger.log.10:2019-09-30 11:44:41.835+0000 INFO JobManager:402 - taskId=830779, taskStatus=TASK_STARTING
logger.log.10:2019-09-30 12:44:41.835+0000 INFO JobManager:402 - taskId=830779, taskStatus=TASK_FAILED
logger.log.10:2019-10-01 07:31:01.835+0000 INFO JobManager:402 - taskId=865022, taskStatus=TASK_RUNNING
logger.log.10:2019-10-02 07:01:14.835+0000 INFO JobManager:402 - taskId=887038, taskStatus=TASK_STARTING
logger.log.10:2019-10-03 07:20:58.835+0000 INFO JobManager:402 - taskId=844068, taskStatus=TASK_FAILED
logger.log.10:2019-10-04 07:56:14.835+0000 INFO JobManager:402 - taskId=870166, taskStatus=TASK_RUNNING
logger.log.10:2019-10-05 07:54:25.835+0000 INFO JobManager:402 - taskId=890019, taskStatus=TASK_FAILED
logger.log.10:2019-10-06 07:52:34.835+0000 ERROR JobManager:402 - taskId=894621, taskStatus=TASK_RUNNING
logger.log.10:2019-10-07 07:42:13.835+0000 INFO JobManager:402 - taskId=896965, taskStatus=TASK_FAILED
logger.log.10:2019-10-08 07:08:09.835+0000 INFO JobManager:402 - taskId=807976, taskStatus=TASK_RUNNING
logger.log.10:2019-10-09 07:40:51.835+0000 INFO JobManager:402 - taskId=840758, taskStatus=TASK_STARTING
logger.log.10:2019-10-10 07:11:34.835+0000 INFO JobManager:402 - taskId=876827, taskStatus=TASK_RUNNING
logger.log.10:2019-10-11 07:22:42.835+0000 INFO JobManager:402 - taskId=895701, taskStatus=TASK_STARTING
logger.log.10:2019-10-12 07:23:44.835+0000 INFO JobManager:402 - taskId=853352, taskStatus=TASK_FAILED
logger.log.10:2019-10-13 07:52:51.835+0000 INFO JobManager:402 - taskId=854633, taskStatus=TASK_COMPLETED
logger.log.10:2019-10-14 07:51:08.835+0000 ERROR JobManager:402 - taskId=899599, taskStatus=TASK_FAILED
logger.log.10:2019-10-15 07:00:28.835+0000 INFO JobManager:402 - taskId=839091, taskStatus=TASK_STARTING
logger.log.10:2019-10-16 07:52:13.835+0000 INFO JobManager:402 - taskId=811676, taskStatus=TASK_RUNNING
logger.log.10:2019-10-17 07:19:10.835+0000 INFO JobManager:402 - taskId=888309, taskStatus=TASK_FAILED
logger.log.10:2019-10-18 07:48:02.835+0000 INFO JobManager:402 - taskId=819010, taskStatus=TASK_STARTING
logger.log.10:2019-10-19 07:33:14.835+0000 INFO JobManager:402 - taskId=892342, taskStatus=TASK_STARTING
logger.log.10:2019-10-20 07:16:42.835+0000 INFO JobManager:402 - taskId=850903, taskStatus=TASK_STARTING
logger.log.10:2019-10-21 07:38:25.835+0000 INFO JobManager:402 - taskId=844482, taskStatus=TASK_FAILED
logger.log.10:2019-10-22 07:10:56.835+0000 INFO JobManager:402 - taskId=885453, taskStatus=TASK_COMPLETED
logger.log.10:2019-10-23 07:02:25.835+0000 INFO JobManager:402 - taskId=859562, taskStatus=TASK_RUNNING
logger.log.10:2019-10-24 07:08:10.835+0000 INFO JobManager:402 - taskId=883624, taskStatus=TASK_RUNNING
logger.log.10:2019-10-25 07:54:02.835+0000 INFO JobManager:402 - taskId=839387, taskStatus=TASK_STARTING
logger.log.10:2019-10-26 07:24:21.835+0000 INFO JobManager:402 - taskId=809795, taskStatus=TASK_COMPLETED
logger.log.10:2019-10-27 07:50:35.835+0000 INFO JobManager:402 - taskId=850713, taskStatus=TASK_STARTING
logger.log.10:2019-10-28 07:48:44.835+0000 INFO JobManager:402 - taskId=880045, taskStatus=TASK_COMPLETED
logger.log.10:2019-10-29 07:30:53.835+0000 INFO JobManager:402 - taskId=854974, taskStatus=TASK_COMPLETED
logger.log.10:2019-10-30 07:19:47.835+0000 INFO JobManager:402 - taskId=839678, taskStatus=TASK_COMPLETED
logger.log.10:2019-10-31 07:40:50.835+0000 INFO JobManager:402 - taskId=829061, taskStatus=TASK_STARTING
logger.log.10:2019-11-01 07:25:54.835+0000 INFO JobManager:402 - taskId=815370, taskStatus=TASK_STARTING
logger.log.10:2019-11-02 07:52:02.835+0000 INFO JobManager:402 - taskId=827577, taskStatus=TASK_RUNNING
